,name,points,url,Достоверность маркировки,Антибиотики,Микробиология,Безопасность,Качество,Фальсификация,Органолептика,Содержание потенциально опасных веществ,Микробиологическая безопасность,Маркировка,Потребительские свойства,Потенциально вредные вещества,Пестициды нормируемые,Пестициды,Экокритерии,Антибиотики и токсичные элементы,Физико-химические показатели,Показатели качества,Введение потребителя в заблуждение,Достоверность информации,Органолептические и физико-химические показатели,Органолептические показатели,Консерванты,Витамины,Пищевая ценность,Минеральные вещества,Синтетические красители,Подсластители,Красители
0,Агуша,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/detskaya-molochnaya-produktsiya-kefir/,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
1,ВкусВилл,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/detskaya-molochnaya-produktsiya-kefir/,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
2,Наша Маша,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/detskaya-molochnaya-produktsiya-kefir/,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
3,Лакомо,4.325,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/detskaya-molochnaya-produktsiya-kefir/,5.0,5.0,5.0,5.0,2.75,,,,,,,,,,,,,,,,,,,,,,,,
4,Крепыш,3.75,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/detskaya-molochnaya-produktsiya-kefir/,2.5,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
5,Ам-Ам,3.075,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/detskaya-molochnaya-produktsiya-kefir/,2.5,5.0,5.0,5.0,2.75,,,,,,,,,,,,,,,,,,,,,,,,
6,Агуша,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/detskaya-molochnaya-produktsiya-tvorog/,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
7,Ам-Ам,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/detskaya-molochnaya-produktsiya-tvorog/,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
8,Ашан,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/detskaya-molochnaya-produktsiya-tvorog/,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
9,ВкусВилл,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/detskaya-molochnaya-produktsiya-tvorog/,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
